scope,method,model,runs,valid,valid_pct,avg_seconds_pass,avg_tokens_pass,avg_api_calls_pass
full_400,AutoSpec,gpt-4o,400,109,27.3,323.84,9605,4.54
full_400,AutoSpec,gpt-5-mini,400,98,24.5,253.57,4448,3.34
full_400,AutoSpec,gpt-5.4-mini,400,250,62.5,670.53,40179,13.29
full_400,AutoSpec,gpt-5,400,290,72.5,87.34,2024,
full_400,LLM-C,gpt-4o,400,52,13.0,5.1,1513,1.0
full_400,LLM-C,gpt-5-mini,400,76,19.0,23.09,3027,1.0
full_400,LLM-C,gpt-5.4-mini,400,106,26.5,9.48,1572,1.0
full_400,LLM-C,gpt-5,400,55,13.8,4.06,3983,1.0
full_400,SESpec,gpt-4o,400,280,70.0,706.6,82280,9.95
full_400,SESpec,gpt-5-mini,400,249,62.3,300.64,57860,7.35
full_400,SESpec,gpt-5.4-mini,400,320,80.0,318.1,61416,8.05
full_400,SESpec,gpt-5,400,349,87.2,461.41,143689,12.92
full_400,SESpec_no_refine,gpt-4o,400,126,31.5,91.1,5856,1.6
full_400,SESpec_no_refine,gpt-5-mini,400,107,26.8,105.48,11567,2.1
full_400,SESpec_no_refine,gpt-5.4-mini,400,132,33.0,49.17,5234,1.52
full_400,SESpec_no_refine,gpt-5,400,144,36.0,76.56,13737,2.62
full_400,SpecGen,gpt-4o,400,174,43.5,588.58,13496,4.75
full_400,SpecGen,gpt-5-mini,400,193,48.2,337.97,8637,2.19
full_400,SpecGen,gpt-5.4-mini,400,236,59.0,265.87,4525,1.89
full_400,SpecGen,gpt-5,400,251,62.7,267.84,13309,2.45
